日付,出航予定時刻,出航場所,着予定時刻,着場所,運航状況,欠航理由,便名,検知時刻,風速_ms,波高_m,視界_km,気温_c,備考,timestamp,route,scheduled_departure,actual_departure,cancelled,wind_speed,wave_height,visibility,temperature
2025-08-31,07:15,稚内,08:55,鴛泊,運航,,稚内-鴛泊1,2025-08-31 08:38:28,12.5,1.4,4.9,11.7,"船舶: アマポーラ宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.358015,wakkanai_oshidomari_outbound,07:15,07:29,False,12.5,1.4,4.9,11.7
2025-08-31,11:15,稚内,12:55,鴛泊,運航,,稚内-鴛泊2,2025-08-31 08:38:28,9.5,0.6,5.1,11.9,"船舶: サイプリア宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.358072,wakkanai_oshidomari_outbound,11:15,11:29,False,9.5,0.6,5.1,11.9
2025-08-31,16:40,稚内,18:20,鴛泊,運航,,稚内-鴛泊3,2025-08-31 08:38:28,17.3,1.7,11.0,22.7,"船舶: サイプリア宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.358108,wakkanai_oshidomari_outbound,16:40,16:46,False,17.3,1.7,11.0,22.7
2025-08-31,08:25,鴛泊,10:05,稚内,運航,,鴛泊-稚内1,2025-08-31 08:38:28,6.5,3.2,5.1,18.0,"船舶: ボレアース宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.358137,oshidomari_wakkanai_inbound,08:25,08:28,False,6.5,3.2,5.1,18.0
2025-08-31,12:05,鴛泊,13:45,稚内,運航,,鴛泊-稚内2,2025-08-31 08:38:28,5.1,3.6,10.3,23.8,"船舶: アマポーラ宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.358164,oshidomari_wakkanai_inbound,12:05,12:15,False,5.1,3.6,10.3,23.8
2025-08-31,16:40,鴛泊,18:20,稚内,運航,,鴛泊-稚内3,2025-08-31 08:38:28,15.8,1.3,2.9,23.6,"船舶: ボレアース宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.358189,oshidomari_wakkanai_inbound,16:40,16:50,False,15.8,1.3,2.9,23.6
2025-08-31,06:30,稚内,08:25,香深,運航,,稚内-香深1,2025-08-31 08:38:28,10.9,2.1,9.7,20.2,"船舶: サイプリア宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.358215,wakkanai_kafuka_outbound,06:30,06:34,False,10.9,2.1,9.7,20.2
2025-08-31,10:30,稚内,12:25,香深,欠航,High Waves,稚内-香深2,2025-08-31 08:38:28,9.5,3.6,14.0,6.6,"船舶: ボレアース宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.358232,wakkanai_kafuka_outbound,10:30,,True,9.5,3.6,14.0,6.6
2025-08-31,14:50,稚内,16:45,香深,欠航,High Waves,稚内-香深3,2025-08-31 08:38:28,15.6,3.6,3.5,16.2,"船舶: アマポーラ宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.358250,wakkanai_kafuka_outbound,14:50,,True,15.6,3.6,3.5,16.2
2025-08-31,08:55,香深,10:50,稚内,運航,,香深-稚内1,2025-08-31 08:38:28,4.3,1.4,8.7,11.7,"船舶: サイプリア宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.358277,kafuka_wakkanai_inbound,08:55,09:10,False,4.3,1.4,8.7,11.7
2025-08-31,14:20,香深,16:15,稚内,運航,,香深-稚内2,2025-08-31 08:38:28,11.4,2.7,3.3,15.9,"船舶: サイプリア宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.358299,kafuka_wakkanai_inbound,14:20,14:35,False,11.4,2.7,3.3,15.9
2025-08-31,17:10,香深,19:05,稚内,運航,,香深-稚内3,2025-08-31 08:38:28,11.8,1.2,6.1,15.3,"船舶: アマポーラ宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.358322,kafuka_wakkanai_inbound,17:10,17:18,False,11.8,1.2,6.1,15.3
2025-08-31,09:30,鴛泊,10:15,香深,欠航,High Waves,鴛泊-香深1,2025-08-31 08:38:28,13.9,4.0,6.9,12.3,"船舶: アマポーラ宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.358341,oshidomari_kafuka,09:30,,True,13.9,4.0,6.9,12.3
2025-08-31,13:15,鴛泊,14:00,香深,運航,,鴛泊-香深2,2025-08-31 08:38:28,9.8,2.1,3.4,11.8,"船舶: サイプリア宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.358365,oshidomari_kafuka,13:15,13:15,False,9.8,2.1,3.4,11.8
2025-08-31,10:40,香深,11:25,鴛泊,運航,,香深-鴛泊1,2025-08-31 08:38:28,17.3,1.8,7.4,14.0,"船舶: ボレアース宗谷, データ生成日: 2025-08-31",2025-08-31T08:38:28.358389,kafuka_oshidomari,10:40,10:50,False,17.3,1.8,7.4,14.0
